Data_Hora,IdTweet,Candidato,Tweet_limpo,Sentimento_Final
2022-08-01 02:53:29+00:00,1553936929632256000,Lula,     o ex presidiário lula com sua quadrilha que saqueou os cofres públicos vai reconstruir o país? kkkkkkk ta drogado?!,Neutro
2022-08-01 02:53:27+00:00,1553936921621106688,Lula, 1 - pesquise sobre os financiamentos de países como cuba/angola e encontrará matérias nos principais veículos de comunicação do país2 - regulação da mídia foi proposta pelo lula aqui mesmo pelo tt e estava no plano de governo de 2018. ñ é difícil encontrar tais informações.,Negativo
2022-08-01 02:53:26+00:00,1553936917661728768,Lula,"     sendo cuidar dos fracos a única coisa que a bíblia ordena. então, temos um presidente que prega o exato oposto do que ordena a bíblia.",Neutro
2022-08-01 02:53:26+00:00,1553936916239859714,Lula," ""seu sem vergonha"" ",Neutro
2022-08-01 02:53:26+00:00,1553936916076281856,Lula,a propaganda gratuita pro lula ,Negativo
2022-08-01 02:53:25+00:00,1553936913077309440,Lula," agora vc quer arrumar o brasil que vc, sua corja petista e o bolsonaro destruíram, né? quando vc e o governo petista triplicaram a dívida interna, fizeram 50 milhões de brasileiros estarem em extrema pobreza, fizeram 12 milhões ficarem desempregados (mais do que com o bozo), ...",Neutro
2022-08-01 02:53:22+00:00,1553936900389478401,Lula,     tipo lula mesmo,Neutro
2022-08-01 02:53:22+00:00,1553936899173146624,Lula,  lula &amp; kalil por ❤️🔺🇧🇷!!!! 😉,Neutro
2022-08-01 02:53:22+00:00,1553936899009560577,Lula, efeito lula e desespero de seu papis.,Neutro
2022-08-01 02:53:21+00:00,1553936894488100864,Lula," que vive defendendo o bandido do lula, esqueceu disso aqui… ",Neutro
2022-08-01 02:53:18+00:00,1553936885810184193,Lula," só devolver o dinheiro que vc roubou, cria vergonha bandido!",Neutro
2022-08-01 02:53:17+00:00,1553936881120940033,Lula,"   por falar nisto, a que pé anda esse inquérito? ",Neutro
2022-08-01 02:53:14+00:00,1553936868387213312,Lula, esse lula virou um java-porco com hidrofobia!,Neutro
2022-08-01 02:53:13+00:00,1553936864003891205,Lula," vc roubaria o leite delas, já tem bastante experiência!",Neutro
2022-08-01 02:53:13+00:00,1553936863622209540,Lula, bolsonaro vai ganhar do maldito lula,Neutro
2022-08-01 02:53:13+00:00,1553936863362224131,Lula,    sdv,Neutro
2022-08-01 02:53:12+00:00,1553936859943804928,Lula, então somos todos radicais com orgulho! a cf/88 tb é radical. errado é qm não se considera radical.,Neutro
2022-08-01 02:53:12+00:00,1553936859058712577,Lula,"the infer forecasting tournament think there's a 3 in 4 chance that bolsonaro will challenge the results of the october presidential election, which he is expected to lose heavily to lula ",Negativo
2022-08-01 02:53:11+00:00,1553936854344519686,Lula, mentiroso.,Neutro
2022-08-01 02:53:10+00:00,1553936849940332547,Lula, viejo ladrón,Neutro
2022-08-01 02:53:09+00:00,1553936846266171393,Lula, vc só engana troucha mesmo,Neutro
2022-08-01 02:53:07+00:00,1553936837563092993,Lula,"  sim, seria uma pena ela ficar de fora. mas acho muito difícil ela ser eleita. de verdade. é um dos estados mais bolsonaristas do país, e ali lula tem pouca força pra dar impulso aos proporcionais. espero estar errado e que ela arrebente, mas...",Neutro
2022-08-01 02:53:07+00:00,1553936835662970880,Lula, médicos cafajeste,Neutro
2022-08-01 02:53:03+00:00,1553936820311818242,Lula," família com dignidade é aquela em que vcs colocam os filhos contra os pais?  aquela que não se concretiza por causa dos abortos? aquela em que o marido drogado de crack (legalização, né?) bate ou mata a esposa e filhos?  aquela sem princípios morais (como vc diz, ultrapassados)?",Neutro
2022-08-01 02:53:01+00:00,1553936814502821889,Lula, vamos lula construir um presídio pra vc com esses tijolos! ,Neutro
2022-08-01 02:53:01+00:00,1553936811789008902,Lula," bolsonaro es un covarde, no habrá golpe, con lula ganando en primera vuelta, luego el terco y ignóbil estará en cana.",Negativo
2022-08-01 02:53:00+00:00,1553936809641578496,Lula,  lula calhorda. ,Neutro
2022-08-01 02:53:00+00:00,1553936807439601665,Lula," quem defende o governo de cuba, venezuela, nicarágua é a favor da democracia?    lula mente de forma descarada.",Positivo
2022-08-01 02:52:58+00:00,1553936800330153986,Lula,"    e você não sabe o que é sarcasmo, pelo jeito.",Neutro
2022-08-01 02:52:57+00:00,1553936796173701120,Lula,"  vai estudar robozinho, aprenda a escrever em português.lula vai ganhar no primeiro turno. grato por ajudar a nos dar visibilidade",Negativo
2022-08-01 02:52:56+00:00,1553936790624653313,Lula, simmmmque a criança tenha um copinho de leiteee e vcs recebam salarioo de 50 mil por mes soh com esse papinhoo furadooninguem mais cai nessa lorota seu ladrao do caralhoovcs sempre  deram  migalhas para a populaçao e ficam com os milhoes pra vcs dividirem entre vcs,Neutro
2022-08-01 02:52:55+00:00,1553936789219540992,Lula,    mulher kkkkkkkkkkkk,Neutro
2022-08-01 02:52:54+00:00,1553936781061591040,Lula,"  se tem uma coisa que eu queria muito ter, era um ""santinho"" da campanha do marreco com a imagem do lula para presidente...",Neutro
2022-08-01 02:52:53+00:00,1553936779480371200,Lula, bolsonaro já cuidou disso!!!,Neutro
2022-08-01 02:52:53+00:00,1553936777043447810,Lula, ladrão,Neutro
2022-08-01 02:52:50+00:00,1553936768231260161,Lula, livros didáticos com viés de liberalismo sexual! pouca vergonha isso sim!,Neutro
2022-08-01 02:52:50+00:00,1553936766880649218,Lula, radical e roubar o brasil. dinheiro que poderia ir para as famílias carentes. roubar também leva as famílias a pobreza e o desemprego. lembra que o governo de vocês deixou 13 milhões de desempregados?,Neutro
2022-08-01 02:52:50+00:00,1553936765681106946,Lula," presidente lula o senhor não vai ao paraná, santa catarina e na região norte não?",Neutro
2022-08-01 02:52:50+00:00,1553936764405940224,Lula,    a bigorna da realidade caindo.... ,Neutro
2022-08-01 02:52:49+00:00,1553936761075671040,Lula,"  genocida é o ladrão q vc apoia ,que ao invez de fazer hospitais fez estádios,por causa de acéfalos como vc q caga na urna q o brasil chegou aonde chegou,milhares de pessoas morreram em filas esperando ser atendidas,mas não se faz copa com hospitais não e mesmo",Neutro
2022-08-01 02:52:47+00:00,1553936755027476485,Lula,   só tenho pena dos pacientes desses médicos que defendem e apóiam criminoso que apoia assassino assaltante de celular.é isso que você quer pra seus filhos e netos? ,Neutro
2022-08-01 02:52:47+00:00,1553936754947887104,Lula, ,Neutro
2022-08-01 02:52:47+00:00,1553936754742272002,Lula,  ,Neutro
2022-08-01 02:52:43+00:00,1553936738728427521,Lula, boa noite 🌙💤,Neutro
2022-08-01 02:52:42+00:00,1553936734727069696,Lula,teria parecer por prisão domiciliar se fosse preto e pobre?⬇️⬇️⬇️pgr contraria pf e pede ao stf apenas prisão domiciliar de bolsonarista que ameaçou lula e ministros da corte ,Neutro
2022-08-01 02:52:41+00:00,1553936727781277697,Lula," lula e o pt ja chutaram ela varias vezes,como não tem vergonha, continua apoiando o ladrão!",Neutro
2022-08-01 02:52:40+00:00,1553936723528368129,Lula,"  o teu candidato foge pra paris em 2018 e tu cobra postura do lula em relação a debates? me poupe, g cirista, pois vocês é que são uma cópia do bolsonarismo, só que mais chatos.",Neutro
2022-08-01 02:52:38+00:00,1553936717492719616,Lula, era só não ter desviados os recursos no passado! safado.,Negativo
2022-08-01 02:52:38+00:00,1553936716934926337,Lula,       que voto perfeito...parabéns..,Neutro
2022-08-01 02:52:37+00:00,1553936710257594368,Lula, 🤥🤥🤥🤥🤥🤥🤥 photoshop bug montagem ,Neutro
2022-08-01 02:52:35+00:00,1553936701659176962,Lula, a verdade: lula roubou. dilma não fez nada. e os bandidos da esquerda vivem de propagar fakenews.,Neutro
2022-08-01 02:52:34+00:00,1553936701218820102,Lula," mentiras e mais mentiras, vc não fez isto antes e agora diz que fez e  que vai concertar o país?????",Neutro
2022-08-01 02:52:33+00:00,1553936695808212993,Lula,   acredito que o lula possa até ganhar aí em 2022 .. se perder vai ser muito apertado .. aqui em cuiabá acho que já virou ( o pt nunca ganhou aqui ) mas em 22 as chá cês sao grandes .,Neutro
2022-08-01 02:52:33+00:00,1553936695162130432,Lula, igual agente gira a calça para arrancar as moedas dos bolsos?,Neutro
2022-08-01 02:52:29+00:00,1553936679161024515,Lula," eu não sei se foi uma falha ou se é intencional, mas isso não te ajuda em absolutamente nada ",Neutro
2022-08-01 02:52:28+00:00,1553936675138682886,Lula, do lula,Neutro
2022-08-01 02:52:27+00:00,1553936670751395840,Lula, como se vc rouba o leite deles?,Neutro
2022-08-01 02:52:24+00:00,1553936659183534080,Lula,"           seguindo a todos da lista, quem eu ainda não seguia 👍 reciprocidade 👍❣️👏lula presidente 🚩     ",Neutro
2022-08-01 02:52:24+00:00,1553936657547771906,Lula,"  seus jumentos, vocês não sabem nem o significado de fascismo!!! 🧠💩  ",Neutro
2022-08-01 02:52:24+00:00,1553936655723134976,Lula," vc dá muito valor aos médicos, neh . os médicos cubanos te conhecem muito bem . ",Neutro
2022-08-01 02:52:23+00:00,1553936651172421633,Lula,   olá.. me segue por favor,Positivo
2022-08-01 02:52:22+00:00,1553936650346156032,Lula," você e um brincalhão primeiro vocês roubam, saqueiam todo o estado do rio de janeiro e depois que levaram tudo e que o atual governo tenta reerguer vocês querem novamente acabar com tudo, esqueceram da era cabral lula está junto. vocês são um brincante...",Neutro
2022-08-01 02:52:22+00:00,1553936648840388608,Lula, e só quero que vc vá tomar no cool seu fdp,Neutro
2022-08-01 02:52:19+00:00,1553936634508464129,Lula,"boa noite comp desejo uma semana abençoada para todos nós!!! estamos cada dia mais perto de nos livrarmos desse desgoverno. que deus nos ilumine e nos guie. nunca foi tão necessário levarmos  lula de volta ao planalto! com a força do povo, lula de novo!!! ",Neutro
2022-08-01 02:52:15+00:00,1553936620360966144,Lula,  é normal candidatos com índices parecidos se aliarem. vejo o alkimin vice de lula e agora vc junto com eles.,Neutro
2022-08-01 02:52:15+00:00,1553936619920556033,Lula,"alguém, por favor, que conheça o presidente  avise a ele que eu estou bancando em águas claras - df (o bairro mais paneleiro de brasília), 4 sinais de wi-fi para lembrar 24h7dias aos internautas q o brasil pode e vai ser feliz de novo?    ",Positivo
2022-08-01 02:52:15+00:00,1553936619123744771,Lula, pra provar sua tese seu vice ja gosta de uma merendinha,Neutro
2022-08-01 02:52:14+00:00,1553936616284110848,Lula,  faz tanto discurso contra a corrupção e vai apoiar um ex presidiário. kkkkkkk,Neutro
2022-08-01 02:52:14+00:00,1553936615222951936,Lula,então é lula ,Neutro
2022-08-01 02:52:14+00:00,1553936613759193089,Lula,"   o povo do psb vota em danilo. o de lula, nos petistas votamos em marilia. queiram vcs comissionados ou nao!",Neutro
2022-08-01 02:52:13+00:00,1553936611267715074,Lula,"    getúlio vargas é o total contrário ao bozó, o getúlio por exemplo não aceitava a privatização da petrobrás e de empresas brasileiras. foi inclusive ele que criou essa coisa de não privatizar. e t várias outras coisas. uma coisa e certa, bozo, getúlio, e o lula são uns populistas.",Neutro
2022-08-01 02:52:10+00:00,1553936600584921089,Lula,    urra o robô petista fanático do sapo barbudo.,Neutro
2022-08-01 02:52:07+00:00,1553936587632873472,Lula,   já tô lhe seguindo.,Neutro
2022-08-01 02:52:06+00:00,1553936579885821952,Lula,"  nossa,  amigxs! lacrou! assinar a carta pró lula é super imparcial.",Positivo
2022-08-01 02:52:05+00:00,1553936577356759045,Lula, vai. toma vergonha ladrão,Neutro
2022-08-01 02:52:02+00:00,1553936564262158336,Lula, não usem a mesma foto a internet não esquece ,Neutro
2022-08-01 02:52:01+00:00,1553936561812684800,Lula,  14 anos no poder e não fez na disso que diz.mentiroso...,Negativo
2022-08-01 02:52:01+00:00,1553936559862423552,Lula,   ja sei q se eu um dia tiver a infelicidade de  cair nas mãos de um desses médicos o futuro da minha saúde será incerto .,Neutro
2022-08-01 02:52:00+00:00,1553936554896285696,Lula,     aqui é ciro ou nulo,Neutro
2022-08-01 02:51:59+00:00,1553936552383873030,Lula,"     1 - quando alguém fala em metralhar, acabar, destruir não está falando de defesa 2 - a educação não é propriedade privada.3 - caridade e compaixão não são necessariamente a mesma coisa.",Neutro
2022-08-01 02:51:58+00:00,1553936546658717703,Lula," se só os ricos vão votar no bolsonaro, ele ganha no primeiro turno. ja q o lula tirou o brasileiro da pobreza",Negativo
2022-08-01 02:51:57+00:00,1553936545924669441,Lula,sonhei que o lula ganhava as eleições com uma diferença boa do segundo lugar 🤔 kkk,Neutro
2022-08-01 02:51:57+00:00,1553936545849262084,Lula,"   parabéns aos médicos cubanos que vão tirar o emprego desses ai da ufrj, se o lula ganhar.",Neutro
2022-08-01 02:51:57+00:00,1553936543777263617,Lula, a tá... ,Neutro
2022-08-01 02:51:56+00:00,1553936541046738945,Lula,     ,Neutro
2022-08-01 02:51:53+00:00,1553936527386116096,Lula, lula ptfreixo psb - apoiado pelo ptdep. federal - ptdep. estadual - ainda não decidosenador - ainda não decidido.,Neutro
2022-08-01 02:51:50+00:00,1553936514496741378,Lula,    ,Neutro
2022-08-01 02:51:50+00:00,1553936514329071616,Lula, se preocupa não lula tá vindo aí ,Neutro
2022-08-01 02:51:49+00:00,1553936511103533058,Lula,   vishhh.. só deu gente feia ali ..🤷‍♂️🙄,Neutro
2022-08-01 02:51:49+00:00,1553936509954310151,Lula," exemplo de reconstrução,o governo dilma fala por si só.🤦👎👎",Neutro
2022-08-01 02:51:43+00:00,1553936486193569793,Lula, ,Neutro
2022-08-01 02:51:42+00:00,1553936482435579905,Lula,  🤡 ,Neutro
2022-08-01 02:51:42+00:00,1553936479587631109,Lula," a única coisa que vc quer garantir é sua riqueza através de corrupção, seu velho desgraçado...",Neutro
2022-08-01 02:51:40+00:00,1553936473451384833,Lula," larápio , fica na sua , sua desonestidade vai te colocar no hall das pessoas lembradas por crimes!!! velhote safado",Negativo
2022-08-01 02:51:40+00:00,1553936471651917825,Lula,  sou anti pt!   para de sugerir luladrão e seus aliados! ,Negativo
2022-08-01 02:51:40+00:00,1553936470821715968,Lula,"kemarin sabtu, ayah dan ibu vaksin booster ditemenin lula. seneng bgt jd gak ada kipi🤗",Neutro
2022-08-01 02:51:37+00:00,1553936459501027329,Lula,   quero ver ir em ao menos 01. passaram 15 anos roubando e destruindo o que vinha sendo conquistado agora vem com historinha kkkkk,Neutro
2022-08-01 02:51:36+00:00,1553936455302463489,Lula,    ex presidiário luladrao presidente em nárnia só se for,Neutro
2022-08-01 02:51:36+00:00,1553936454937714690,Lula," qual instituição ainda falta rebaixar? vcs desteuiram tudo!!! e quem deveria garantir a cf, foi o 1o a se implodir quando descodenou o ex presidiario lula. o  tem responsabilidade na desgraça q vivemos!!",Neutro
2022-08-01 02:51:36+00:00,1553936454912458752,Lula, se não dá lula em primeiro então é golpe segundo o noblosta,Neutro
2022-08-01 02:51:34+00:00,1553936445961805824,Lula, ,Neutro
2022-08-01 02:51:33+00:00,1553936444745465856,Lula,vontade de vomitar as vezes n vejo a hora do lula ser presidente pra mudar isso,Neutro
2022-08-01 02:51:32+00:00,1553936438747594752,Lula,"segue o líder, o pai tá on vamos que vamos 🚩1️⃣3️⃣☮️❤️🧔🏻‍♂️            ",Neutro
2022-08-01 02:51:31+00:00,1553936434519838913,Lula, eu so conheço gente boa ... todos vão de lula mesmo. temos que tirar aquele merda q tá na presidência !!,Neutro
2022-08-01 02:51:31+00:00,1553936433320263681,Lula,   ninguém merece ter alguém que defende bandidos e tiram as vidas dos inocentes por furto de celular.!! ,Neutro
2022-08-01 02:51:30+00:00,1553936431986393091,Lula," boa noite presidente  , bom descanso pra ocêis, senhor e janjinha que por sinal será uma excelente primeira dama. bons sonhos camaradas do azulzinhu!",Neutro
2022-08-01 02:51:30+00:00,1553936430904365058,Lula,   conheço vários exemplos que não aceitam assinar carteira pra não perderem o auxílio do governo!!!,Neutro
2022-08-01 02:51:29+00:00,1553936426554822659,Lula,   que acabo de leer lula me estas engañando,Neutro
2022-08-01 02:51:28+00:00,1553936424348618754,Lula,aqui é o ceará. terra que fascista é lixo. aqui é lula. ,Neutro
2022-08-01 02:51:25+00:00,1553936410306043904,Lula,"   ele naobfalou inteligência mentiroso a força de vontade que causou um guerranmundial, usurpou o poder, criou um estado racista extremista com 100% de controle da informação, coisa que hoje o lula admite querer fazer. ",Neutro
2022-08-01 02:51:23+00:00,1553936403024732160,Lula, a mesma coisa de ver os movimentos nazistas e fascistas com suas bandeiras vermelhas. ,Neutro
2022-08-01 02:51:22+00:00,1553936396095787008,Lula, hummmm  ,Neutro
2022-08-01 02:51:21+00:00,1553936394380263424,Lula,      meu deputado federal!!,Neutro
2022-08-01 02:51:19+00:00,1553936384003563521,Lula, para de mentir,Neutro
2022-08-01 02:51:17+00:00,1553936377703796736,Lula,"  votar no lula, faz da pessoa tão ruim, quanto a pessoa q vota no bolsonaro.obs.: eles não são iguais, mas são equivalentes, tanto os candidatos, quanto os q votam neles!e não se esqueçam, o estado é o único filha da puta, e políticos mais ainda!",Negativo
2022-08-01 02:51:14+00:00,1553936362625196032,Lula, ,Neutro
2022-08-01 02:51:10+00:00,1553936348058456064,Lula, ,Neutro
2022-08-01 02:51:05+00:00,1553936327497994241,Lula," kkkk piada inventa outra ai, estamos em 2022 não em 1980 débil mental.",Neutro
2022-08-01 02:51:05+00:00,1553936324461223936,Lula,"só não mostrem pro  onde já se viu o lula junto com liberais... na cabeça dele, um absurdo ",Neutro
2022-08-01 02:51:03+00:00,1553936315648974848,Lula," gado, enquete não é pesquisa. se o está com 33% em uma bolha, da jovens klan, imagina em um público fora da bolha. vai ser lula no primeiro turno gado.",Negativo
2022-08-01 02:51:02+00:00,1553936311303667712,Lula," lula é ladrão, corrupto e quadrilheiro l!!! ",Neutro
2022-08-01 02:51:01+00:00,1553936309865029632,Lula,       que lindos!!!😍👏👏👏👏👏 ,Neutro
2022-08-01 02:50:59+00:00,1553936300318855169,Lula,"amanhã começam oficialmente os 3 meses que vão mudar nossas vidas. peço a todos paciência e disposição para falar sim sobre política. muita gente só viverá, literalmente, se esses vermes saírem do governo. vamos reconstruir esse país, por mais difícil que seja. vamos de lula.",Neutro
2022-08-01 02:50:57+00:00,1553936290973990915,Lula,"parte dos ciristas, estão tão próximos aos bolsonaristas que acredito que pegaram o contato dos disparos de mensagens fakes com o carluxo! estão indo em massa nos meus vídeos cobrar sobre as alianças do lula e do pt. o problema é que eles não estão vendo ao vídeos",Negativo
2022-08-01 02:50:55+00:00,1553936284921511936,Lula, ah leite não 🤢,Neutro
2022-08-01 02:50:53+00:00,1553936277636005890,Lula,   nulo é lula enrustido.,Neutro
2022-08-01 02:50:52+00:00,1553936272288350208,Lula,      juro q vi mais cedo e pensei no mesmo,Negativo
2022-08-01 02:50:52+00:00,1553936271470460928,Lula,"    meu deus, é pra levar isso que vc disse a sério? tempos sombrios...",Neutro
2022-08-01 02:50:50+00:00,1553936262138142721,Lula, do lula?,Neutro
2022-08-01 02:50:49+00:00,1553936260019937281,Lula, lula,Neutro
2022-08-01 02:50:48+00:00,1553936253569191936,Lula, eu conto pra ele ou vocês contam?,Neutro
2022-08-01 02:50:45+00:00,1553936243578355712,Lula,lula está em todo lugar! ,Neutro
2022-08-01 02:50:44+00:00,1553936237244841986,Lula,          👏👏🏿👏👏🏿👏,Neutro
2022-08-01 02:50:42+00:00,1553936231305814016,Lula,  ,Neutro
2022-08-01 02:50:41+00:00,1553936226989793281,Lula,assembleia dos rodoviários 30/07/22 em recife. o sindicato é do psol e apoia lula. na hora de colocar a faixa de fora bolsonaro! vejam a reação! *31/07/2022*,Neutro
2022-08-01 02:50:40+00:00,1553936222413783043,Lula, ,Neutro
2022-08-01 02:50:36+00:00,1553936204818796550,Lula, mas lula vai voltar e vai dar um fim nisso...,Neutro
2022-08-01 02:50:36+00:00,1553936203476525056,Lula, eu quero que vc durma e acordei na cadeia todos os dias ladrão! é pedir demais?,Neutro
2022-08-01 02:50:35+00:00,1553936199357693954,Lula,   controlada o q seu maluco????,Neutro
2022-08-01 02:50:34+00:00,1553936194127396865,Lula,  o povo acordou 💪 ,Neutro
2022-08-01 02:50:33+00:00,1553936193401884677,Lula,"  eu imagino que vc pense realmente nas pessoas como eleele pensou em todos os petistas para enriquecer, vc deve pensar o mesmo dos seus amigoscoitado dos mineiros",Neutro
2022-08-01 02:50:32+00:00,1553936186976124928,Lula,     tudo play boy… filho de papai! que nunca trabalhou na vida e agora defende o socialismo 😂 sera que vão dividir o salário deles tbm?,Positivo
2022-08-01 02:50:31+00:00,1553936183385886721,Lula,   quem solta lula e cesari batisti pra mim não tem credibilidade alguma nesse país,Neutro
2022-08-01 02:50:31+00:00,1553936183062736896,Lula,   ????!!!???!??!!?,Neutro
2022-08-01 02:50:29+00:00,1553936176524021762,Lula, parte de uma tragédia isso sim.,Neutro
2022-08-01 02:50:27+00:00,1553936166306594821,Lula, ,Neutro
2022-08-01 02:50:24+00:00,1553936153006510080,Lula,união brasil sempre foi lula,Neutro
2022-08-01 02:50:23+00:00,1553936151500791808,Lula,"   hahahahh boa  !  vamos ver esses mortadelas se contorcer em volta das mentiras do kinder-lula. que tal o próximo desenho ter esse tema, kindle ovo",Positivo
2022-08-01 02:50:23+00:00,1553936149714010113,Lula, vai pra baixa d' égua com esse seu discurso. velho patife..,Neutro
2022-08-01 02:50:22+00:00,1553936143653142530,Lula," do lula!!! ele está em primeiro nas pesquisas e fez seu pai dar uma canetada!!! aposto dinheiro que dia 03/10/22, a gasolina vai explodir de novo!!!!",Neutro
2022-08-01 02:50:20+00:00,1553936136749420551,Lula,   sdv faz o l,Neutro
2022-08-01 02:50:19+00:00,1553936133654028288,Lula,  a súcia quer mamar de novo.,Neutro
2022-08-01 02:50:19+00:00,1553936132869693445,Lula, 🤥🤥🤥🤥🤥🤥🤥 ,Neutro
2022-08-01 02:50:14+00:00,1553936111520870400,Lula," esquerdalha mentirosa! enquanto a água não chegar aos consumidores, não está terminada. lula roubou o que pode e largou do jeito q estava. tome vergonha, sr ",Neutro
2022-08-01 02:50:14+00:00,1553936110690177024,Lula," pera aítu tem uma toalha do lula? eu n sei pq, mas achei isso meio estranho e amei ao mesmo tempo",Neutro
2022-08-01 02:50:11+00:00,1553936100258889730,Lula, desgraçado teu lula não irá ganhar 💩💩💩💩,Neutro
2022-08-01 02:50:11+00:00,1553936098312814592,Lula, deixa de ser canalha. seu vagabundo !,Neutro
2022-08-01 02:50:10+00:00,1553936097020977152,Lula, é lula de novo com a força do povo é lula presidente 2022. ,Neutro
2022-08-01 02:50:09+00:00,1553936091241189377,Lula,"brazilian politics:the current party of sergio moro, the former judge that made his fame by sentencing lula for corruption in 2017 and then became minister of justice of bolsonaro in 2018, is now supporting lula's candidacy in the presidential electionsbrazil ta complicado ! ",Positivo
2022-08-01 02:50:07+00:00,1553936081170714624,Lula, criminoso é seu ídolo lula e todo seu bando.para relembrar.,Neutro
2022-08-01 02:50:06+00:00,1553936077156761601,Lula,  🤮🤮🤮🤮🤮🤮🤮,Neutro
2022-08-01 02:50:04+00:00,1553936069300834306,Lula, ,Neutro
2022-08-01 02:50:01+00:00,1553936057720344576,Lula,  é o efeito lula,Neutro
2022-08-01 02:49:58+00:00,1553936046034935808,Lula,"      acabou teu argumento? para tirar as coisas de contexto, eu acho que faltou argumentos, só acho. mas e a pergunta que te fiz sobre o prédio de 30 andares?",Neutro
2022-08-01 02:49:58+00:00,1553936043577118720,Lula,"  esqueceram de avisá-los que o brasil cresceu 4,6% em 2021 e estima-se que vá crescer 2,5% em 2022. o desemprego é o menor em 7 anos. o auxílio brasil foi aumentado para 600,00. o brasil está no caminho certo!",Negativo
2022-08-01 02:49:56+00:00,1553936036388118529,Lula, vc falando em família?o homem que quer acabar com a família brasileira.,Neutro
2022-08-01 02:49:56+00:00,1553936036165713920,Lula,"visitando meus padrinhos, a toalha do lula virou atração!impossível não tirar uma foto! ",Neutro
2022-08-01 02:49:54+00:00,1553936029027115009,Lula," lula...além de mentiroso, agora prova que esta gaga. veja os resultados da economia com toda catástrofes sofridas no governo bolsonaro. agora que eu espero é que vc volte. volte pra cadeia, pois sabemos (inclusive vc) que vc não é inocente...bolsonaro 22",Negativo
2022-08-01 02:49:51+00:00,1553936016393781248,Lula, e regular a mídia seu imundo?,Neutro
2022-08-01 02:49:50+00:00,1553936013319438336,Lula,   pq o stf não vale pq soltou o lula 😭,Neutro
2022-08-01 02:49:50+00:00,1553936011650125827,Lula, se fosse na época do lula seria ao contrário os jogadores estariam vazando do brasil para a argentina 🤣🤣🤣,Neutro
2022-08-01 02:49:50+00:00,1553936010597261320,Lula,"     e não, a bíblia não diz que amor e compaixão são coisas do capeta, até pois o capeta não existe, não há nada que não seja de deus e creado por deus.e não, a bíblia não diz que quem cuida do fraco é um imbecil, na verdade cuidar dos fracos é a &gt;única&lt; coisa que a bíblia ordena.",Positivo
2022-08-01 02:49:50+00:00,1553936009850720260,Lula,para vc..quem ganha a  ?    ,Neutro
2022-08-01 02:49:47+00:00,1553935999352315904,Lula," ⭐️radical é sua falsidade, usando d causas legitimas e da dor do povo p/ chegar ao poder e implantar a ditadura comunista, socialista.  radical é vc humilhar a nação a roubando e deixando na desgraça e o povo sofrendo. radical é vc favorecer bandidos e humilhar o trabalhador. ",Neutro
2022-08-01 02:49:47+00:00,1553935999297888256,Lula, democracia na visão esquerdopatas é a luta pelo poder para voltar a roubar,Neutro
2022-08-01 02:49:46+00:00,1553935996462551041,Lula," são todos filhos de papai q estão totalmente desconexos com a realidade. vc n vê nenhum negro na foto ,somente pessoas brancas elitizadas  q nunca  passaram fome ou qualquer outro tipo de nessecidade.",Neutro
2022-08-01 02:49:46+00:00,1553935993111281664,Lula, ahamm... ,Neutro
2022-08-01 02:49:43+00:00,1553935980482142208,Lula,👉bote fé e figa lula!👊✌️🚩👉vamos vencer    ,Neutro
2022-08-01 02:49:40+00:00,1553935969438633984,Lula,"para surpresa de zero pessoas, moro e lula na mesma foto.... ",Neutro
